Country Name,Country Code,Series Name,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Canada,CAN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.2,..,..,..,..
Cayman Islands,CYM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Central African Republic,CAF,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,65.7,..,..
Chad,TCD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,30.8,..
Channel Islands,CHI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Chile,CHL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,1.3,..,0.4,..
China,CHN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.1,..,..,..
Colombia,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),5.3,9.4,7.3,6,..
Comoros,COM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,78.9,..,..,..
"Congo, Rep.",COG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Costa Rica,CRI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.1,2.3,1.2,0.9,..
Cote d'Ivoire,CIV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,9.7,..,..
Croatia,HRV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.3,0.3,0.3,..,..
Cuba,CUB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Curacao,CUW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Cyprus,CYP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.2,0,0,..,..
Czechia,CZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,0.1,..,..
Denmark,DNK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.3,0.2,0.2,..,..
Djibouti,DJI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Dominica,DMA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Dominican Republic,DOM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.8,1,0.9,0.8,..
Ecuador,ECU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),3.6,6.5,3.6,3.2,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.5,..,..,..,..
El Salvador,SLV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.4,..,3.6,3.4,..
Equatorial Guinea,GNQ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Eritrea,ERI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Estonia,EST,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.6,0.3,0.3,..,..
Eswatini,SWZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Ethiopia,ETH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Faroe Islands,FRO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Fiji,FJI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.3,..,..,..,..
Finland,FIN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,0,..,..
France,FRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.1,0.1,..,..
French Polynesia,PYF,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Gabon,GAB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
"Gambia, The",GMB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,17.2,..,..,..
Georgia,GEO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),4.8,5.8,5.5,..,..
Germany,DEU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,..,..,..,..
Ghana,GHA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Gibraltar,GIB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Greece,GRC,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.7,0.8,0.6,..,..
Greenland,GRL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Grenada,GRD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Guam,GUM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Guatemala,GTM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Guinea,GIN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Guinea-Bissau,GNB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,26,..,..
Guyana,GUY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Haiti,HTI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Honduras,HND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),12.7,..,..,..,..
"Hong Kong SAR, China",HKG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Hungary,HUN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.3,0.4,0.4,..,..
Iceland,ISL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
India,IND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),13.2,15.5,12.9,..,..
Indonesia,IDN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),4.4,3.8,3.5,2.5,1.9
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.7,0.8,0.7,0.5,..
Iraq,IRQ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Ireland,IRL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.1,0.1,..,..
Isle of Man,IMN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Israel,ISR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.7,0.4,0.2,..,..
Italy,ITA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,0.8,0.8,..,..
Jamaica,JAM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,0.3,..,..
Japan,JPN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Jordan,JOR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Kazakhstan,KAZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,0,..,..
Kenya,KEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,35,36.1,..,..
Kiribati,KIR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.7,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
"Korea, Rep.",KOR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Kosovo,XKX,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Kuwait,KWT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Kyrgyz Republic,KGZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.7,1.3,0.7,..,..
Lao PDR,LAO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Latvia,LVA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.2,0.5,0.4,..,..
Lebanon,LBN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Lesotho,LSO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Liberia,LBR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Libya,LBY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Liechtenstein,LIE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Lithuania,LTU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.5,0.2,0.3,..,..
Luxembourg,LUX,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0,0.1,..,..
"Macao SAR, China",MAC,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Madagascar,MDG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Malawi,MWI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),70.1,..,..,..,..
Malaysia,MYS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,0,..,..
Maldives,MDV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,..,..,..,..
Mali,MLI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,20.8,..,..
Malta,MLT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.3,0.3,..,..,..
Marshall Islands,MHL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.9,..,..,..,..
Mauritania,MRT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),5.4,..,..,..,..
Mauritius,MUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Mexico,MEX,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,2.1,..,1.2,..
"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Moldova,MDA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,..,0,..,..
Monaco,MCO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Mongolia,MNG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,0.2,..
Montenegro,MNE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),2,1.8,2,..,..
Morocco,MAR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Mozambique,MOZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),74.5,..,..,..,..
Myanmar,MMR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Namibia,NAM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Nauru,NRU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Nepal,NPL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Netherlands,NLD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0,0.1,..,..
New Caledonia,NCL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
New Zealand,NZL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Nicaragua,NIC,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Niger,NER,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,50.6,..,..
Nigeria,NGA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
North Macedonia,MKD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),2.7,..,..,..,..
Northern Mariana Islands,MNP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Norway,NOR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.2,..,..,..,..
Oman,OMN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Pakistan,PAK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Palau,PLW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Panama,PAN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,..,1.1,..,1.3
Papua New Guinea,PNG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Paraguay,PRY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,0.8,0.7,1.3,..
Peru,PER,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),3,5.8,2.8,2.7,..
Philippines,PHL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,3,..,..
Poland,POL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.1,0.1,..,..
Portugal,PRT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.5,0.2,..,..
Puerto Rico,PRI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Qatar,QAT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Romania,ROU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),2.2,1.4,1.8,..,..
Russian Federation,RUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,..,..,..
Rwanda,RWA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Samoa,WSM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
San Marino,SMR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Sao Tome and Principe,STP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Saudi Arabia,SAU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Senegal,SEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,9.9,..,..
Serbia,SRB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),2.3,1.6,1.2,..,..
Seychelles,SYC,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Sierra Leone,SLE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Singapore,SGP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Sint Maarten (Dutch part),SXM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Slovak Republic,SVK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.2,0.1,..,..
Slovenia,SVN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,0,..,..
Solomon Islands,SLB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Somalia,SOM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
South Africa,ZAF,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
South Sudan,SSD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Spain,ESP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.8,0.9,0.6,..,..
Sri Lanka,LKA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,..,..,..,..
St. Kitts and Nevis,KNA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
St. Lucia,LCA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
St. Martin (French part),MAF,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
St. Vincent and the Grenadines,VCT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Sudan,SDN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Suriname,SUR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,1.1,..
Sweden,SWE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.3,0.4,0.6,..,..
Switzerland,CHE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,..,..,..
Syrian Arab Republic,SYR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,24.8,..
Tajikistan,TJK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Tanzania,TZA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Thailand,THA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0,0,..,..
Timor-Leste,TLS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Togo,TGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,26.6,..,..
Tonga,TON,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,0,..,..
Trinidad and Tobago,TTO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Tunisia,TUN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,0.3,..,..
Turkiye,TUR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.5,0.5,0.4,..,..
Turkmenistan,TKM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Turks and Caicos Islands,TCA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Tuvalu,TUV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Uganda,UGA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),42.1,..,..,..,..
Ukraine,UKR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,..,..,..
United Arab Emirates,ARE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
United Kingdom,GBR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.5,0.5,0.2,..,..
United States,USA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,0.2,0.2,..,..
Uruguay,URY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.2,0.1,0.2,..
Uzbekistan,UZB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,2.3,..
Vanuatu,VUT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),10,..,..,..,..
"Venezuela, RB",VEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Viet Nam,VNM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,0.7,..,1,..
Virgin Islands (U.S.),VIR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
West Bank and Gaza,PSE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
"Yemen, Rep.",YEM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Zambia,ZMB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,64.3,..
Zimbabwe,ZWE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),39.8,..,..,..,..
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 06/28/2024,,,,,,,
