Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Channel Islands,CHI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Chile,CHL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,3.4,..,1.3,..
China,CHN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,6.4,5.9,..,..,..
Colombia,COL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,14,19,16.5,14.4,..
Comoros,COM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Congo, Dem. Rep.",COD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,76.3,..,..,..
"Congo, Rep.",COG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Costa Rica,CRI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,4.3,7,4.6,4.4,..
Cote d'Ivoire,CIV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,34.3,..,..
Croatia,HRV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.7,0.8,0.6,..,..
Cuba,CUB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Curacao,CUW,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Cyprus,CYP,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.2,0.1,0,..,..
Czechia,CZE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,0.1,..,..
Denmark,DNK,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.3,0.2,0.2,..,..
Djibouti,DJI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Dominica,DMA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Dominican Republic,DOM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,5.6,6.9,6.7,6.1,..
Ecuador,ECU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,10.9,14.3,11.5,10.8,..
"Egypt, Arab Rep.",EGY,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,23.2,..,..,..,..
El Salvador,SLV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,8.8,..,10.1,9.9,..
Equatorial Guinea,GNQ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Eritrea,ERI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Estonia,EST,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.8,0.6,0.4,..,..
Eswatini,SWZ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Ethiopia,ETH,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Faroe Islands,FRO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Fiji,FJI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,16.4,..,..,..,..
Finland,FIN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0,0,..,..
France,FRA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0.2,0.2,..,..
French Polynesia,PYF,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Gabon,GAB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Gambia, The",GMB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,39.7,..,..,..
Georgia,GEO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,19.9,22.3,20.5,..,..
Germany,DEU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,..,..,..,..
Ghana,GHA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Gibraltar,GIB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Greece,GRC,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.5,1.6,1.2,..,..
Greenland,GRL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Grenada,GRD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guam,GUM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guatemala,GTM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guinea,GIN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guinea-Bissau,GNB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,48.1,..,..
Guyana,GUY,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Haiti,HTI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Honduras,HND,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,24,..,..,..,..
"Hong Kong SAR, China",HKG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Hungary,HUN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.9,0.9,0.9,..,..
Iceland,ISL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
India,IND,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,37.9,40.4,38.2,..,..
Indonesia,IDN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,24.5,23.7,23.1,22.2,20.8
"Iran, Islamic Rep.",IRN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,8.4,8.6,7.1,5.9,..
Iraq,IRQ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Ireland,IRL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0.2,0.1,..,..
Isle of Man,IMN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Israel,ISR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.5,1.2,1.1,..,..
Italy,ITA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.4,1.2,1,..,..
Jamaica,JAM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,3.8,..,..
Japan,JPN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Jordan,JOR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kazakhstan,KAZ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,2.4,2.2,1.6,..,..
Kenya,KEN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,53.5,54.3,..,..
Kiribati,KIR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,23.9,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Korea, Rep.",KOR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kosovo,XKX,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kuwait,KWT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Kyrgyz Republic,KGZ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,19.4,23.3,19.4,..,..
Lao PDR,LAO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Latvia,LVA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.9,0.9,0.8,..,..
Lebanon,LBN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Lesotho,LSO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Liberia,LBR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Libya,LBY,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Liechtenstein,LIE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Lithuania,LTU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.8,0.6,0.5,..,..
Luxembourg,LUX,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0,0.1,..,..
"Macao SAR, China",MAC,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Madagascar,MDG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Malawi,MWI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,71.3,..,..,..,..
Malaysia,MYS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,0.4,..,..
Maldives,MDV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.5,..,..,..,..
Mali,MLI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,44.7,..,..
Malta,MLT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.4,0.5,..,..,..
Marshall Islands,MHL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,8.8,..,..,..,..
Mauritania,MRT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,26.4,..,..,..,..
Mauritius,MUS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mexico,MEX,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,10,..,6.5,..
"Micronesia, Fed. Sts.",FSM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Moldova,MDA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,2.6,..,2.5,..,..
Monaco,MCO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mongolia,MNG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,5.3,..
Montenegro,MNE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,5.2,5,4.2,..,..
Morocco,MAR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Mozambique,MOZ,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,73.6,..,..,..,..
Myanmar,MMR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Namibia,NAM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nauru,NRU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nepal,NPL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Netherlands,NLD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.1,0.1,0.1,..,..
New Caledonia,NCL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
New Zealand,NZL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Nicaragua,NIC,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Niger,NER,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,62.9,..,..
Nigeria,NGA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
North Macedonia,MKD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,7.3,..,..,..,..
Northern Mariana Islands,MNP,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Norway,NOR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.2,..,..,..,..
Oman,OMN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Pakistan,PAK,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Palau,PLW,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Panama,PAN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,4.3,..,4.7,..,4.8
Papua New Guinea,PNG,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Paraguay,PRY,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,6.2,6.9,6.2,6.5,..
Peru,PER,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,10.4,17.2,11.4,11.1,..
Philippines,PHL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,20,..,..
Poland,POL,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.2,0.4,0.3,..,..
Portugal,PRT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.4,1,0.5,..,..
Puerto Rico,PRI,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Qatar,QAT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Romania,ROU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,4.6,4.1,3.1,..,..
Russian Federation,RUS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.8,0.8,..,..,..
Rwanda,RWA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Samoa,WSM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
San Marino,SMR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sao Tome and Principe,STP,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Saudi Arabia,SAU,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Senegal,SEN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,33,..,..
Serbia,SRB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,4.6,3.6,2.9,..,..
Seychelles,SYC,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sierra Leone,SLE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Singapore,SGP,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sint Maarten (Dutch part),SXM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Slovak Republic,SVK,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.6,0.6,0.9,..,..
Slovenia,SVN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0,0,0,..,..
Solomon Islands,SLB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Somalia,SOM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
South Africa,ZAF,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
South Sudan,SSD,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Spain,ESP,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.2,1.4,0.9,..,..
Sri Lanka,LKA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,15.6,..,..,..,..
St. Kitts and Nevis,KNA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Lucia,LCA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Martin (French part),MAF,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Sudan,SDN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Suriname,SUR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,5.5,..
Sweden,SWE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.4,0.5,0.9,..,..
Switzerland,CHE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0,0.1,..,..,..
Syrian Arab Republic,SYR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,52.3,..
Tajikistan,TJK,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tanzania,TZA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Thailand,THA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,2.5,2.6,2.4,..,..
Timor-Leste,TLS,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Togo,TGO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,47.3,..,..
Tonga,TON,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,4.5,..,..
Trinidad and Tobago,TTO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tunisia,TUN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,3.9,..,..
Turkiye,TUR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,2.9,2.8,2.1,..,..
Turkmenistan,TKM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Turks and Caicos Islands,TCA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Tuvalu,TUV,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Uganda,UGA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,56.3,..,..,..,..
Ukraine,UKR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.3,1.3,..,..,..
United Arab Emirates,ARE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
United Kingdom,GBR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,0.5,0.6,0.4,..,..
United States,USA,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.1,0.6,0.5,..,..
Uruguay,URY,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,1.1,1.7,1.6,1.6,..
Uzbekistan,UZB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,5.9,..
Vanuatu,VUT,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,32.5,..,..,..,..
"Venezuela, RB",VEN,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Viet Nam,VNM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,5.5,..,5.9,..
Virgin Islands (U.S.),VIR,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
West Bank and Gaza,PSE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Yemen, Rep.",YEM,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Zambia,ZMB,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,..,..,..,67.9,..
Zimbabwe,ZWE,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP,51.8,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,
